sep=;
timestamp;hostname;cpu_percent;mem_percent;mem_used_gb;disk_percent;rx_kbps;tx_kbps
2026-08-11 07:28:51;DESKTOP-22AN8KV;0,0;88,1;10,32;90,5;0,0;0,0
2026-08-11 07:29:02;DESKTOP-22AN8KV;25,6;90,1;10,55;90,5;105,0;42,0
2026-08-11 07:29:14;DESKTOP-22AN8KV;49,3;90,5;10,61;90,5;221,0;41,0
2026-08-11 07:29:25;DESKTOP-22AN8KV;38,7;89,9;10,53;90,5;72,0;10,0
2026-08-11 07:29:37;DESKTOP-22AN8KV;42,2;88,5;10,36;90,5;793,0;80,0
2026-08-11 07:29:48;DESKTOP-22AN8KV;47,5;86,8;10,17;90,5;422,0;62,0
2026-08-11 07:30:00;DESKTOP-22AN8KV;50,6;87,4;10,24;90,5;596,0;81,0
2026-08-11 07:30:11;DESKTOP-22AN8KV;48,5;87,7;10,27;90,5;124,0;73,0
2026-08-11 07:30:23;DESKTOP-22AN8KV;37,3;86,2;10,1;90,5;320,0;69,0
2026-08-11 07:30:35;DESKTOP-22AN8KV;30,1;86,1;10,09;90,5;13724,0;157,0
2026-08-11 07:30:46;DESKTOP-22AN8KV;31,1;86,0;10,07;90,5;233,0;248,0
2026-08-11 07:30:58;DESKTOP-22AN8KV;32,9;86,6;10,14;90,5;258,0;82,0
2026-08-11 07:31:09;DESKTOP-22AN8KV;27,3;85,6;10,03;90,5;62,0;16,0
2026-08-11 07:31:21;DESKTOP-22AN8KV;26,7;85,1;9,97;90,5;62,0;20,0
2026-08-11 07:31:32;DESKTOP-22AN8KV;34,7;87,4;10,24;90,5;1194,0;170,0
2026-08-11 07:31:44;DESKTOP-22AN8KV;37,8;87,5;10,25;90,5;5324,0;78,0
2026-08-11 07:31:55;DESKTOP-22AN8KV;44,7;92,9;10,88;90,5;4741,0;162,0
2026-08-11 07:32:07;DESKTOP-22AN8KV;43,9;93,6;10,97;90,5;692,0;217,0
2026-08-11 07:32:18;DESKTOP-22AN8KV;45,9;95,1;11,14;90,5;1034,0;99,0
2026-08-11 07:32:30;DESKTOP-22AN8KV;40,0;95,9;11,23;90,4;547,0;87,0
2026-08-11 07:32:41;DESKTOP-22AN8KV;26,0;92,2;10,81;90,4;1193,0;78,0
